p1,p2,p3,p4,p1_score,p2_score,p3_score,p4_score
1009,1014,1020,1514,60,55,60,51
1009,1014,1020,1514,61,48,36,58
1009,1014,1020,1514,55,28,64,49
1009,1014,1020,1514,52,52,60,60

1009,1014,1514,1020,59,64,38,53
1009,1014,1514,1020,32,63,56,60
1009,1014,1514,1020,57,57,64,39
1009,1014,1514,1020,59,47,63,64

1009,1020,1014,1514,55,55,50,52
1009,1020,1014,1514,49,38,58,64
1009,1020,1014,1514,49,51,52,52
1009,1020,1014,1514,63,40,64,41

1009,1020,1514,1014,64,40,52,64
1009,1020,1514,1014,56,24,64,44
1009,1020,1514,1014,62,52,64,64
1009,1020,1514,1014,55,45,56,56

1009,1514,1014,1020,49,48,50,47
1009,1514,1014,1020,59,64,63,44
1009,1514,1014,1020,56,52,63,49
1009,1514,1014,1020,51,52,59,46

1009,1514,1020,1014,54,45,64,56
1009,1514,1020,1014,60,64,60,48
1009,1514,1020,1014,52,31,63,50
1009,1514,1020,1014,53,59,55,52

1014,1009,1020,1514,64,35,48,63
1014,1009,1020,1514,56,35,60,35
1014,1009,1020,1514,49,44,53,60
1014,1009,1020,1514,52,48,48,63

1014,1009,1514,1020,64,48,64,56
1014,1009,1514,1020,63,56,43,62
1014,1009,1514,1020,57,52,56,56
1014,1009,1514,1020,60,64,33,59

1014,1020,1009,1514,51,54,52,56
1014,1020,1009,1514,44,44,60,55
1014,1020,1009,1514,58,40,60,64
1014,1020,1009,1514,60,52,64,54

1014,1020,1514,1009,48,47,60,57
1014,1020,1514,1009,60,60,58,52
1014,1020,1514,1009,43,41,47,40
1014,1020,1514,1009,51,48,59,56

1014,1514,1009,1020,59,60,64,35
1014,1514,1009,1020,53,63,48,56
1014,1514,1009,1020,38,49,56,52
1014,1514,1009,1020,36,63,56,64

1014,1514,1020,1009,64,47,51,58
1014,1514,1020,1009,62,57,46,48
1014,1514,1020,1009,59,64,44,32
1014,1514,1020,1009,56,54,60,52

1020,1009,1014,1514,45,58,37,64
1020,1009,1014,1514,56,38,47,54
1020,1009,1014,1514,39,62,53,62
1020,1009,1014,1514,49,64,42,39

1020,1009,1514,1014,56,38,60,43
1020,1009,1514,1014,56,32,62,64
1020,1009,1514,1014,46,43,55,64
1020,1009,1514,1014,52,53,52,47

1020,1014,1009,1514,51,57,60,54
1020,1014,1009,1514,45,36,58,64
1020,1014,1009,1514,36,50,40,64
1020,1014,1009,1514,64,59,43,26

1020,1014,1514,1009,52,59,57,52
1020,1014,1514,1009,60,48,60,64
1020,1014,1514,1009,49,56,60,45
1020,1014,1514,1009,45,62,57,64

1020,1514,1009,1014,64,31,53,50
1020,1514,1009,1014,51,45,63,52
1020,1514,1009,1014,32,64,48,60
1020,1514,1009,1014,64,36,56,64

1020,1514,1014,1009,41,50,56,56
1020,1514,1014,1009,52,55,53,53
1020,1514,1014,1009,64,60,61,38
1020,1514,1014,1009,60,58,64,42

1514,1009,1014,1020,62,64,51,39
1514,1009,1014,1020,64,42,64,56
1514,1009,1014,1020,48,60,54,52
1514,1009,1014,1020,26,50,60,63

1514,1009,1020,1014,37,64,52,40
1514,1009,1020,1014,64,52,43,56
1514,1009,1020,1014,61,61,52,44
1514,1009,1020,1014,52,58,58,44

1514,1014,1009,1020,42,34,50,59
1514,1014,1009,1020,54,60,53,50
1514,1014,1009,1020,24,61,50,60
1514,1014,1009,1020,56,46,49,50

1514,1014,1020,1009,64,64,52,64
1514,1014,1020,1009,42,44,44,50
1514,1014,1020,1009,55,60,53,55
1514,1014,1020,1009,50,42,64,43

1514,1020,1009,1014,45,57,64,64
1514,1020,1009,1014,55,51,56,60
1514,1020,1009,1014,46,60,44,44
1514,1020,1009,1014,48,48,63,44

1514,1020,1014,1009,35,60,64,46
1514,1020,1014,1009,59,34,56,52
1514,1020,1014,1009,56,59,55,64
1514,1020,1014,1009,52,64,58,56
